acpipmi.c	AcpiPmipIoctlSetConfiguration(__int64 a1, __int64 a2)
cdfs.c	CdCommonSetInfo(__int64 a1, __int64 a2)
cdfs.c	CdDecodeFileObject(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdfs.c	CdConvertNameToCdName(__int64 a1, __int64 a2)
cdfs.c	CdConvertBigToLittleEndian(__int64 a1, __int64 a2, int a3, void *a4)
cdfs.c	CdCommonRead(__int64 a1, __int64 a2)
cdfs.c	CdFilterCallbackAcquireForCreateSection(__int64 a1)
cdfs.c	CdReleaseForCreateSection(__int64 a1)
cdfs.c	CdCreateFcb(__int64 a1, __int64 a2, unsigned __int16 a3, __int64 *a4)
cdfs.c	CdCreateFileLock(__int64 a1, __int64 a2, char a3)
cdfs.c	CdCreateIrpContext(__int64 a1, char a2)
cdrom.c	RequestSetContextFields(__int64 a1, __int64 a2)
cdrom.c	DeviceSetMediaChangeStateEx(__int64 a1, unsigned int a2, __int64 a3)
cdrom.c	DeviceInternalSetMediaChangeState(__int64 a1, unsigned int a2, __int64 a3)
cdrom.c	DeviceSendPowerDownProcessRequest(__int64 a1, __int64 a2, __int64 a3)
cdrom.c	RequestProcessSetPower(__int64 a1, __int64 a2)
cdrom.c	SequentialQueueEvtIoReadWrite(__int64 a1, __int64 a2, __int64 a3)
cdrom.c	RequestHandleAreVolumesReady(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestHandleReadWrite(__int64 a1, __int64 a2, __int64 a3)
cdrom.c	RequestHandleSetHotPlugInfo(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestValidateAacsReadVolumeId(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestValidateAacsReadMediaKeyBlock(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestValidateDvdReadKey(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestValidateDvdReadStructure(__int64 a1, __int64 a2, __int64 a3)
cdrom.c	RequestValidateRawRead(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestValidateReadQChannel(__int64 a1, __int64 a2, __int64 a3)
cdrom.c	RequestValidateReadTocEx(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestValidateReadWrite(__int64 a1, __int64 a2, __int64 a3)
cdrom.c	RequestValidateSetSpeed(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestSetupMcnSyncIrp(__int64 a1)
cdrom.c	ScratchBuffer_PerformNextReadWrite(__int64 a1, char a2)
cdrom.c	ScratchBuffer_ReadWriteCompletionRoutine(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	ScratchBuffer_ReadWriteEvtRequestCancel(__int64 a1)
cdrom.c	ScratchBuffer_ReadWriteTimerRoutine(struct _KDPC *Dpc, PVOID DeferredContext, PVOID SystemArgument1, PVOID SystemArgument2)
cdrom.c	ScratchBuffer_SetupReadWriteSrb(__int64 a1, __int64 a2, unsigned __int64 a3, unsigned int a4, __int64 a5, char a6, char a7)
cdrom.c	MediaReadCapacity(__int64 a1)
cdrom.c	MediaReadCapacityDataInterpret(__int64 a1, __int64 a2)
cdrom.c	CreateQueueEvtIoDefault(__int64 a1, __int64 a2)
cdrom.c	RequestSetupMcnRequest(__int64 a1, char a2)
cdrom.c	ScratchBuffer_SetupSrb(__int64 a1, __int64 a2, unsigned int a3, char a4)
cdrom.c	DvdStartSessionReadKey(__int64 Dst, int a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, unsigned int a7, __int64 a8)
cdrom.c	DeviceSetRawReadInfo(__int64 a1)
cdrom.c	DeviceSetParameter(__int64 a1, const WCHAR *a2, const WCHAR *a3, unsigned int a4)
cdrom.c	DeviceCreateWellKnownName(__int64 a1)
cdrom.c	ReadWriteWorkItemRoutine(__int64 a1)
cdrom.c	DeviceHandleDvdStartSessionReadKey(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleGetSetVolume(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleRawRead(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleReadDvdStructure(void *Dst, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleReadQChannel(void *Dst, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleSetReadAhead(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleSetSpeed(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	ReadDvdStructure(void *Dst, __int64 a2, __int64 a3, __int64 a4, void *Dsta, unsigned __int16 a6, __int64 a7)
cdrom.c	ReadQChannel(void *Dst, __int64 a2, __int64 a3, __int64 a4, void *Dsta, unsigned __int64 a6, __int64 a7)
cdrom.c	RequestHandleLoadEjectMedia(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestHandleReadTOC(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	RequestHandleReadTocEx(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DevicePowerSettingCallback(__int64 a1, __int64 a2, int a3, __int64 a4)
cdrom.c	DeviceHandleAacsReadBindingNonce(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleAacsReadMediaId(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleAacsReadMediaKeyBlock(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleAacsReadSerialNumber(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
cdrom.c	DeviceHandleReadVolumeId(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
circlass.c	DecoderReset(__int64 a1, __int64 a2, __int64 a3)
circlass.c	IrClassEvtDeviceListCreatePdo(__int64 a1, __int64 a2, __int64 a3)
circlass.c	IrClassEvtPdoRead(__int64 a1, __int64 a2, unsigned __int64 a3)
circlass.c	IrClassDecodeRlc(__int64 a1, unsigned int a2, unsigned int *a3, __int64 a4)
circlass.c	IrClassEvtFdoCreate(__int64 a1, __int64 a2, __int64 a3)
circlass.c	IrClassOpenGlobalParameters(__int64 a1, HANDLE *a2)
circlass.c	IrClassReadGlobalParameters(__int64 a1)
circlass.c	IrClassReadAllDecoderConfigs(__int64 a1)
circlass.c	IrClassReadDecoderConfig(void *a1, void *a2, unsigned __int16 a3)
circlass.c	IrClassCleanupDecoders(__int64 a1)
circlass.c	IrClassCleanupDecoder(void *Dst)
Classpnp.c	SetupReadWriteTransferPacket(__int64 a1, __int64 a2, unsigned int a3, unsigned __int64 a4, __int64 a5)
Classpnp.c	ClassReadWrite(PDEVICE_OBJECT DeviceObject, PIRP Irp, __int64 a3)
Classpnp.c	StorSqmCreateStringStreamEntry(__int64 a1, __int64 a2)
Classpnp.c	StorSqmCreateDWORDStreamEntry(__int64 a1, int a2)
Classpnp.c	ClassReadCapacity16(__int64 a1, __int64 a2)
Classpnp.c	SetupDriveCapacityTransferPacket(__int64 a1, __int64 a2, int a3, __int64 a4, __int64 a5, char a6)
Classpnp.c	ClassReadDriveCapacity(PDEVICE_OBJECT DeviceObject)
Classpnp.c	StorSqmCreateStringStreamEntryEx(__int64 a1, __int64 a2)
Classpnp.c	StorSqmCreateDWORDStreamEntryEx(__int64 a1, int a2)
Classpnp.c	RtlStringCchCopyW(wchar_t *pszDest, size_t cchDest, const wchar_t *pszSrc)
Classpnp.c	ClassSpinDownPowerHandler(__int64 DeviceObject, PIRP Irp)
Classpnp.c	ClasspPowerDownCompletion(__int64 a1, __int64 a2, __int64 a3)
Classpnp.c	StRtlIoStorInfoSetSenseData(__int64 a1, __int64 a2)
Classpnp.c	InterpretReadCapacity16Data(__int64 a1, __int64 a2)
Classpnp.c	ClassSetMediaChangeState(__int64 a1, signed __int32 a2, char a3)
Classpnp.c	ClasspInternalSetMediaChangeState(__int64 a1, signed __int32 a2, char a3)
Classpnp.c	ClasspSetMediaChangeStateEx(__int64 a1, signed __int32 a2, char a3, char a4)
Classpnp.c	ClasspCleanupOffloadReadContext(__int64 a1)
Classpnp.c	ClasspCompleteOffloadRead(__int64 a1, unsigned int a2, __int64 a3)
Classpnp.c	ClasspPopulateTokenTransferPacketDone(__int64 a1)
Classpnp.c	ClasspReceivePopulateTokenInformationTransferPacketDone(__int64 a1)
Classpnp.c	ClasspReceiveWriteUsingTokenInformationDone(__int64 a1, int a2)
Classpnp.c	ClasspReceiveWriteUsingTokenInformationTransferPacketDone(__int64 a1)
Classpnp.c	ClasspWriteUsingTokenTransferPacketDone(__int64 a1)
Classpnp.c	ConvertTickToDateTime(__int64 a1, void *a2)
Classpnp.c	ClasspSetupReceivePopulateTokenInformationTransferPacket(__int64 a1, __int64 a2, int a3, __int64 a4, __int64 a5, __int64 a6)
Classpnp.c	ClasspSetupReceiveWriteUsingTokenInformationTransferPacket(__int64 a1, __int64 a2, int a3, __int64 a4, __int64 a5, __int64 a6)
Classpnp.c	ClasspSetupWriteUsingTokenTransferPacket(__int64 a1, __int64 a2, int a3, __int64 a4, __int64 a5, __int64 a6)
Classpnp.c	CleanupTransferPacketToWorkingSetSize(__int64 a1, char a2)
Classpnp.c	SetupModeSelectTransferPacket(__int64 a1, __int64 a2, __int64 a3, unsigned __int8 a4, char a5, __int64 a6)
Classpnp.c	ClasspConvertDataSetRangeToBlockDescr(__int64 a1, __int64 a2, __int64 a3, unsigned int a4, __int64 *a5, unsigned __int64 a6, __int64 a7, __int64 a8)
Classpnp.c	ClasspConvertToScsiRequestBlock(void *a1, __int64 a2)
Classpnp.c	ClasspSqmTrackCopyOffloadDeviceLimits(__int64 a1)
Classpnp.c	ClasspSqmTrackCopyOffloadReadRequestExtents(__int64 a1, unsigned int a2)
Classpnp.c	ClasspSqmTrackCopyOffloadReadRequestTruncation(__int64 a1, __int64 a2, __int64 a3, int a4)
Classpnp.c	ClasspSqmTrackCopyOffloadTokenTTL(__int64 a1, unsigned int a2)
Classpnp.c	ClasspSqmTrackCopyOffloadWriteRequestTruncation(__int64 a1, __int64 a2, __int64 a3, int a4)
Classpnp.c	CreateStorageRequestBlock(void **a1, __int16 a2, int (__fastcall *a3)(_QWORD, _QWORD, _QWORD), __int64 a4, unsigned int a5, char a6)
Classpnp.c	StorSqmSetDWORD(__int64 a1, int a2, __int64 a3)
Classpnp.c	ClassDeviceProcessOffloadRead(__int64 a1, __int64 a2)
Classpnp.c	ClasspCreateClose(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
Classpnp.c	ClassCreateClose(__int64 a1, __int64 a2)
Classpnp.c	SetupModeSenseTransferPacket(__int64 a1, __int64 a2, __int64 a3, unsigned __int8 a4, __int64 a5, char a6, __int64 a7, char a8)
Classpnp.c	ClasspDeviceCopyOffloadProperty(__int64 a1, __int64 a2)
Classpnp.c	ClasspPowerSettingCallback(__int64 a1, __int64 a2, int a3)
Classpnp.c	ClassCreateDeviceObject(struct _DRIVER_OBJECT *a1, __int64 a2, struct _DEVICE_OBJECT *a3, char a4, __int64 a5)
Classpnp.c	ClassSetFailurePredictionPoll(PVOID DeferredContext, int a2, signed __int32 a3)
Classpnp.c	ClasspSetupPopulateTokenTransferPacket(__int64 a1, __int64 a2, int a3, __int64 a4, __int64 a5, __int64 a6)
Classpnp.c	CleanupTransferPacketToWorkingSetSizeWorker(PDEVICE_OBJECT DeviceObject, PVOID Context)
Classpnp.c	ClassSetDeviceParameter(__int64 a1, const WCHAR *a2, const WCHAR *a3, int a4)
clfs.c	CClfsKernelMarshallingContext::ReadComplete(CClfsKernelMarshallingContext *this, struct _LOGIOCB *a2, struct _CLFS_RECORD_HEADER *a3)
clfs.c	CClfsKernelMarshallingContext::TerminateRead(CClfsKernelMarshallingContext *this, struct _LOGIOCB *const a2)
clfs.c	CClfsRequest_State::Change_State_ReadPending(CClfsRequest_State *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest::AddRefReadIo(CClfsRequest *this)
clfs.c	CClfsRequest::CreateReadCompletionElement(CClfsRequest *this)
clfs.c	CClfsRequest::ConsumeCreatedReadCompletionElement(CClfsRequest *this)
clfs.c	CClfsReadCompletionElt::QueryWorkItem(CClfsReadCompletionElt *this)
clfs.c	CClfsContainer::IoAsyncReadCompletion(struct _DEVICE_OBJECT *a1, struct _IRP *a2, void *a3)
clfs.c	CClfsRequest::ReadDone(CClfsRequest *this, unsigned int a2, unsigned int a3)
clfs.c	CClfsRequest_State_ReadPending::ReadDone(CClfsRequest_State_ReadPending *this, struct CClfsRequest *a2, __int64 a3, __int64 a4)
clfs.c	CClfsRequest::AsyncReadIoCompletion(void *a1, struct _IO_STATUS_BLOCK *a2)
clfs.c	CClfsReadCompletionElt::Release(PVOID Entry)
clfs.c	CClfsLogFcbPhysical::AppendRegion(CClfsLogFcbPhysical *this, struct _FILE_OBJECT *a2, unsigned __int8 a3, void *a4, unsigned __int32 a5, const unsigned __int64 *a6, __int64 *a7, const __int64 *a8, struct IClfsRequestAsync *a9, struct _IO_STATUS_BLOCK *a10, __int64 *a11, union _CLS_LSN *a12, union _CLS_LSN *a13, union _CLS_LSN *a14)
clfs.c	CClfsRequest::FinalizeReadRequest(CClfsRequest *this)
clfs.c	CClfsRequest_State_ReadAwaitingCompletion::FinalizeReadRequest(CClfsRequest_State_ReadAwaitingCompletion *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest::FinalizeAsyncRead(CClfsRequest *this)
clfs.c	CClfsRequest_State::Change_State_Done(CClfsRequest_State *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest::FlushDone(CClfsRequest *this, const union _CLS_LSN *a2, unsigned int a3)
clfs.c	CClfsRequest_State_FlushPending::FlushDone(CClfsRequest_State_FlushPending *this, struct CClfsRequest *a2, const union _CLS_LSN *a3, unsigned int a4, __int32 a5)
clfs.c	CClfsRequest_State_AppendPendingFlush::FlushDone(CClfsRequest_State_AppendPendingFlush *this, struct CClfsRequest *a2, const union _CLS_LSN *a3, unsigned int a4, __int32 a5)
clfs.c	CClfsRequest::CompleteAsyncAppend(CClfsRequest *this, const union _CLS_LSN *a2, unsigned int a3, int a4)
clfs.c	CClfsLogFcbCommon::IsReadOnly(CClfsLogFcbCommon *this)
clfs.c	ClfsDecodeBlock(struct _CLFS_LOG_BLOCK_HEADER *a1, unsigned int a2, char a3, unsigned __int32 *a4, unsigned __int32 *a5)
clfs.c	ClfsCreateEventObject(enum _EVENT_TYPE a1, struct _KEVENT **a2)
clfs.c	ClfsDecodeBlockPrivate(struct _CLFS_LOG_BLOCK_HEADER *a1, unsigned int a2, char a3, unsigned __int8 a4, unsigned __int32 *a5)
clfs.c	CClfsRequest::ReleaseReadIo(CClfsRequest *this)
clfs.c	CClfsLogFcbPhysical::ReserveAndAppendLog(CClfsLogFcbPhysical *this, struct _FILE_OBJECT *a2, void *a3, __int64 *a4, const unsigned __int64 *a5, __int64 *a6, struct IClfsRequestAsync *a7, unsigned __int8 a8, struct IClfsRequestAsync *a9, struct _IO_STATUS_BLOCK *a10, struct _IO_STATUS_BLOCK *a11, union _CLS_LSN *a12, union _CLS_LSN *a13, union _CLS_LSN *a14, union _CLS_LSN *a15)
clfs.c	CClfsLogFcbPhysical::AppendLog(CClfsLogFcbPhysical *this, struct _FILE_OBJECT *a2, unsigned __int8 a3, void *a4, unsigned __int32 a5, int a6, unsigned __int8 a7, const unsigned __int64 *a8, __int64 *a9, const __int64 *a10, struct IClfsRequestAsync *a11, struct _IO_STATUS_BLOCK *a12, __int64 *a13, union _CLS_LSN *a14, union _CLS_LSN *a15)
clfs.c	ClfsLsnCreate(unsigned int a1, unsigned int a2, int a3)
clfs.c	CClfsRequest_State_AppendPendingFlush::GetMdlReference(CClfsRequest_State_AppendPendingFlush *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest::IsReadMgmtNotification(CClfsRequest *this)
clfs.c	CClfsLogFcbPhysical::ReadLog(CClfsLogFcbPhysical *this, const union _CLS_LSN *a2, const struct _CLFS_READ_BUFFER *a3, ULONG_PTR BugCheckParameter3, union _CLS_LSN *a5, struct IClfsRequestAsync *BugCheckParameter3a, union _CLS_LSN *a7, unsigned __int32 *a8)
clfs.c	CClfsLogFcbPhysical::ReadLogBlock(CClfsLogFcbPhysical *this, struct _FILE_OBJECT *a2, const union _CLS_LSN *a3, int a4, const struct _CLFS_READ_BUFFER *a5, unsigned __int32 a6, struct IClfsRequestAsync *a7, union _CLS_LSN *a8, union _CLS_LSN *a9, unsigned __int32 *a10)
clfs.c	CClfsLogCcb::SetPhysicalHandle(CClfsLogCcb *this, void *a2)
clfs.c	CClfsLogFcbPhysical::Open(CClfsLogFcbPhysical *this, struct _FILE_OBJECT *a2)
clfs.c	CClfsLogFcbCommon::SetFileObject(CClfsLogFcbCommon *this, struct _FILE_OBJECT *a2, struct CClfsLogCcb *a3)
clfs.c	CClfsLogFcbCommon::CreateCcb(CClfsLogFcbCommon *this, char a2, struct _FILE_OBJECT *a3, struct _FILE_OBJECT *a4, struct CClfsLogCcb **a5)
clfs.c	CClfsLogFcbCommon::IsOpened(CClfsLogFcbCommon *this)
clfs.c	ClfsCheckAndResetReadInProgress(__int64 a1, unsigned int a2)
clfs.c	CClfsBaseFilePersisted::SetDefaultSaclSecurityDescriptor(void **a1, unsigned __int32 *a2)
clfs.c	CClfsLogFcbPhysical::OpenClient(CClfsLogFcbPhysical *this, const struct _UNICODE_STRING *a2, void *a3, struct _SECURITY_SUBJECT_CONTEXT *a4, unsigned __int32 a5, unsigned __int32 a6, struct _ACCESS_STATE *a7, struct _ACCESS_STATE *a8, struct _FILE_OBJECT *a9, PFILE_OBJECT a10)
clfs.c	CClfsLogFcbPhysical::ReadOnly(CClfsLogFcbPhysical *this)
clfs.c	CClfsLogFcbPhysical::AcquireForReadAheadCallback(void *a1)
clfs.c	CClfsLogFcbPhysical::AcquireForReadAhead(CClfsLogFcbPhysical *this, BOOLEAN a2)
clfs.c	CClfsLogFcbPhysical::ReleaseFromReadAheadCallback(void *a1)
clfs.c	CClfsContainer::IoAsyncReadCompletionFreeMdls(struct _DEVICE_OBJECT *a1, struct _IRP *a2, void *a3)
clfs.c	CClfsLogFcbPhysical::ReadQueuedOwnerPage(CClfsLogFcbPhysical *this, const union _CLS_LSN *a2, unsigned __int8 *a3)
clfs.c	CClfsReadCompletionElt::AddRef(CClfsReadCompletionElt *this)
clfs.c	CClfsReadCompletionElt::QueryAsyncRequestInterface(CClfsReadCompletionElt *this)
clfs.c	CClfsRequest::SetWaitLsn(CClfsRequest *this, const union _CLS_LSN *a2)
clfs.c	CClfsBaseFile::ReadMetadataBlock(CClfsBaseFile *this)
clfs.c	CClfsLogFcbPhysical::ReadLogBlock(__int64 a1, struct _FILE_OBJECT *a2, const union _CLS_LSN *a3, int a4, const struct _CLFS_READ_BUFFER *a5, unsigned __int32 a6, struct IClfsRequestAsync *a7, union _CLS_LSN *a8, union _CLS_LSN *a9, unsigned __int32 *a10)
clfs.c	CClfsLogFcbPhysical::ReadLogPagingIo(__int64 a1, const union _LARGE_INTEGER *a2, const struct _CLFS_READ_BUFFER *a3, unsigned __int32 a4, struct IClfsRequestAsync *a5, unsigned __int32 *a6)
clfs.c	CClfsLogFcbPhysical::SetArchiveTail(__int64 a1, struct _FILE_OBJECT *a2, const union _CLS_LSN *a3)
clfs.c	CClfsLogFcbPhysical::SetEndOfLog(__int64 a1, struct _FILE_OBJECT *a2, unsigned __int8 a3, struct _CLFS_TRUNCATE_CLIENT_CHANGE *a4, unsigned __int32 a5)
clfs.c	CClfsLogFcbPhysical::SetLogFileInfo(__int64 a1, struct _FILE_OBJECT *a2, int a3, __int64 a4, unsigned int a5)
clfs.c	CClfsLogFcbPhysical::AppendRegion_::_1_::fin_0(__int64 a1, __int64 a2, __int64 a3, unsigned __int32 *a4)
clfs.c	CClfsRequest::FinalizeAsyncRead_::_1_::filt_0(__int64 a1, __int64 a2)
clfs.c	CClfsRequest::CompleteAsyncAppend_::_1_::filt_0(__int64 a1, __int64 a2)
clfs.c	CClfsRequest::ReleaseReadIo_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::ReserveAndAppendLog_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::AppendLog_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::ReadLog_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::ReadLogBlock_::_1_::filt_0(__int64 a1)
clfs.c	CClfsLogFcbPhysical::ReadLogBlock_::_1_::fin_1(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::Open_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::OpenClient_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::ReadQueuedOwnerPage_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsRequest_State_AppendPendingFlush::Cancel(CClfsRequest_State_AppendPendingFlush *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest_State::Change_State_AppendPendingFlush(CClfsRequest_State *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest_State::Done(CClfsRequest_State *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest_State::FinalizeReadRequest(CClfsRequest_State *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest_State::FlushDone(CClfsRequest_State *this, struct CClfsRequest *a2, const union _CLS_LSN *a3)
clfs.c	CClfsRequest_State_AdvanceLogBasePending::FlushDone(CClfsRequest_State_AdvanceLogBasePending *this, struct CClfsRequest *a2, const union _CLS_LSN *a3, __int64 a4, __int32 a5)
clfs.c	CClfsRequest_State_WriteRestartPending::FlushDone(CClfsRequest_State_WriteRestartPending *this, struct CClfsRequest *a2, const union _CLS_LSN *a3, unsigned int a4)
clfs.c	CClfsRequest_State::ReadDone(CClfsRequest_State *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest::ReadMgmtNotificationDone(CClfsRequest *this, int a2)
clfs.c	CClfsRequest::ReadMgmtNotificationInProgress(CClfsRequest *this)
clfs.c	CClfsRequest::WriteRestartDone(CClfsRequest *this)
clfs.c	CClfsRequest_State::WriteRestartDone(CClfsRequest_State *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest_State_AdvanceLogBaseAwaitingRestart::WriteRestartDone(CClfsRequest_State_AdvanceLogBaseAwaitingRestart *this, struct CClfsRequest *a2)
clfs.c	CClfsRequest_State_WriteRestartInProgress::WriteRestartDone(CClfsRequest_State_WriteRestartInProgress *this, struct CClfsRequest *a2)
clfs.c	CClfsLogFcbVirtual::AcquireForReadAhead(CClfsLogFcbVirtual *this, char a2)
clfs.c	CClfsLogFcbPhysical::CreateClientSharedSecurityContext(CClfsLogFcbPhysical *this, unsigned __int8 a2, void *const a3)
clfs.c	CClfsLogFcbPhysical::CreateSharedSecurityContext(CClfsLogFcbPhysical *this, void *const a2)
clfs.c	CClfsLogFcbVirtual::CreateSharedSecurityContext(CClfsLogFcbVirtual *this, void *const a2)
clfs.c	CClfsLogFcbPhysical::ReadLastOwnerPage(CClfsLogFcbPhysical *this, unsigned __int8 *a2, union _CLS_LSN *a3)
clfs.c	CClfsLogFcbPhysical::ReadLastOwnerPage_::_1_::fin_0(__int64 a1, __int64 a2)
clfs.c	CClfsLogFcbPhysical::ReadLockFcb(CClfsLogFcbPhysical *this)
clfs.c	CClfsLogFcbVirtual::ReadLogPagingIo(CClfsLogFcbVirtual *this, const union _LARGE_INTEGER *a2, const struct _CLFS_READ_BUFFER *a3, __int64 a4, struct IClfsRequestAsync *a5, unsigned __int32 *a6)
clfs.c	CClfsLogFcbVirtual::ReleaseFromReadAhead(CClfsLogFcbVirtual *this)
clfs.c	CClfsKernelMarshallingContext::CheckAndResetReadInProgress(CClfsKernelMarshallingContext *this, struct _LOGIOCB *a2)
clfs.c	ClfsReadPreviousRestartArea(struct _LOGIOCB *a1, __int64 a2, __int64 a3, __int64 a4)
clfs.c	CClfsLogFcbPhysical::ReadRestart(CClfsLogFcbPhysical *this, struct _FILE_OBJECT *a2, const struct _CLFS_READ_BUFFER *a3, __int64 a4, struct IClfsRequestAsync *a5, unsigned __int32 a6, union _CLS_LSN *a7, union _CLS_LSN *a8, unsigned __int32 *a9)
clfs.c	CClfsBaseFilePersisted::ReadImage(CClfsBaseFilePersisted *this, struct _CLFS_CONTROL_RECORD **a2)
clfs.c	ClfsReadNextLogRecord(struct _LOGIOCB *a1, union _CLS_LSN *a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7, __int64 a8)
clfs.c	CClfsKernelMarshallingContext::ReadNextLogRecord(CClfsKernelMarshallingContext *this, struct _LOGIOCB *a2, char a3, union _CLS_LSN *const a4, struct _CLFS_RECORD_HEADER **a5)
clfs.c	ClfsReadRestartArea(CClfsKernelMarshallingContext *this, void **a2, unsigned __int32 *a3, union _CLS_LSN *a4, void **a5)
clfs.c	ClfsReadLogRecord(__int64 a1, __int64 a2, int a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7, __int64 a8, __int64 a9)
clfs.c	CClfsKernelMarshallingContext::ReadRestartArea(CClfsKernelMarshallingContext *this, void **a2, unsigned __int32 *a3, union _CLS_LSN *a4, void **a5)
clfs.c	ClfsReadRestartAreaInternal(__int64 a1, void *a2, int a3, __int64 a4, unsigned __int32 *a5)
clfs.c	CClfsRequest::ReadRestart(CClfsRequest *this, void *a2, int a3, struct _KEVENT *a4)
clfs.c	ClfsCreateMarshallingArea(struct _FILE_OBJECT *a1, enum _POOL_TYPE a2, void *(__stdcall *a3)(enum _POOL_TYPE, unsigned __int64, unsigned __int32), __int64 a4, unsigned __int32 a5, unsigned __int32 a6, unsigned __int32 a7, __int64 a8)
clfs.c	CClfsKernelMarshallingContext::ReadMarshalledLogRecord(CClfsKernelMarshallingContext *this, struct _LOGIOCB *a2, unsigned __int32 *a3, unsigned __int8 *a4)
clfs.c	CClfsKernelMarshallingContext::ReadLogRecord(__int64 a1, union _CLS_LSN *a2, int a3, __int64 a4, __int64 a5)
clfs.c	ClfsTerminateReadLog(struct _LOGIOCB *a1)
clfs.c	ClfsReadLogRecordInternal(__int64 a1, __int64 a2, unsigned __int32 a3, void *a4, unsigned __int32 a5, unsigned __int32 *a6)
clfs.c	CClfsRequest::ReadLogBlock(CClfsRequest *this, union _CLS_LSN *a2, int a3, void *a4, unsigned __int32 a5, struct _KEVENT *a6, union _CLS_LSN *a7, unsigned __int32 *a8)
clfs.c	CClfsContainer::SetCompression(CClfsContainer *this, struct _IO_STATUS_BLOCK *a2)
clfs.c	CClfsRequest::ReadLogPagingIo(CClfsRequest *this)
clfs.c	CClfsContainer::Open(CClfsContainer *this, struct _UNICODE_STRING *a2, const struct _CLFS_FILTER_CONTEXT *a3, char a4, unsigned __int8 *a5)
clfs.c	CClfsContainer::ReadSector(CClfsContainer *this, ULONG_PTR BugCheckParameter2, ULONG_PTR BugCheckParameter3, const struct _CLFS_READ_BUFFER *a4, unsigned __int32 a5, const unsigned __int64 *a6)
clfs.c	CClfsBaseFilePersisted::ReadMetadataBlock(CClfsBaseFilePersisted *this, unsigned int a2)
clfs.c	CClfsRequest::ReserveAndAppendLog(CClfsRequest *this, struct _IRP *a2, void *a3, int a4, const __int64 *a5, HANDLE Handle, const __int64 *a7, unsigned __int8 a8, struct _KEVENT *Handlea, union _CLS_LSN *a10, const union _CLS_LSN *a11, union _CLS_LSN *a12, unsigned __int32 *a13)
